Date,Task name,Minutes,Notes
11/12/22,Study flashcards,77,
12/07/20,Study flashcards,83,
12/07/20,Make flashcards,56,
12/07/20,Duolingo,6,
12/08/20,Study flashcards,90,
12/08/20,Make flashcards,50,
12/08/20,Duolingo,11,
12/09/20,Study flashcards,89,
12/09/20,Make flashcards,40,
12/09/20,Duolingo,16,
12/10/20,Study flashcards,84,
12/10/20,Make flashcards,45,
12/10/20,Duolingo,3,
12/11/20,Study flashcards,89,
12/11/20,Make flashcards,48,
12/11/20,Duolingo,28,
12/12/20,Study flashcards,69,
12/12/20,Make flashcards,40,
12/12/20,Bonus study,80,
12/12/20,Duolingo,10,
12/13/20,Study flashcards,73,
12/13/20,Duolingo,9,
12/13/20,Make flashcards,50,
12/14/20,Study flashcards,88,
12/14/20,Make flashcards,70,
12/14/20,Bonus study,10,
12/15/20,Study flashcards,83,
12/15/20,Duolingo,6,
12/15/20,Make flashcards,40,
12/16/20,Study flashcards,76,
12/16/20,Duolingo,12,
12/16/20,Make flashcards,58,
12/17/20,Study flashcards,66,
12/17/20,Make flashcards,52,
12/18/20,Study flashcards,60,
12/18/20,Duolingo,5,
12/19/20,Study flashcards,47,
12/19/20,Make flashcards,40,
12/19/20,Duolingo,11,
12/20/20,Study flashcards,65,
12/20/20,Duolingo,4,
12/20/20,Make flashcards,35,
12/21/20,Study flashcards,85,
12/21/20,Duolingo,4,
12/21/20,Make flashcards,40,
12/22/20,Make flashcards,45,
12/22/20,Study flashcards,65,
12/23/20,Study flashcards,61,
12/23/20,Make flashcards,45,
12/23/20,Duolingo,5,
12/24/20,Study flashcards,54,
12/25/20,Study flashcards,60,
12/25/20,Duolingo,4,
