Date,Time (mins)
11/12/2022,77
11/11/2022,70.6
11/10/2022,58.43
11/09/2022,66
11/08/2022,72
11/07/2022,67.37
11/06/2022,65.45
11/05/2022,66.62
11/04/2022,60.27
11/03/2022,52.97
11/02/2022,51
11/01/2022,73.72
10/31/2022,76.28
10/30/2022,64.95
10/29/2022,66.87
10/28/2022,52.17
10/27/2022,53.95
10/26/2022,52.78
10/25/2022,57.32
10/24/2022,45.43
10/23/2022,60.8
10/22/2022,51.37
10/21/2022,49.1
10/20/2022,67.98
10/19/2022,62.42
10/18/2022,51.62
10/17/2022,57.22
10/16/2022,65.07
10/15/2022,60.83
10/14/2022,62.22
10/13/2022,51.17
10/12/2022,51.8
10/11/2022,53.2
10/10/2022,48.12
10/09/2022,33.15
10/08/2022,53.73
10/07/2022,55.9
10/06/2022,48.03
10/05/2022,56.88
10/04/2022,66.07
10/03/2022,53.1
10/02/2022,64.18
10/01/2022,49.25
09/30/2022,62.9
09/29/2022,53.28
09/28/2022,56.17
09/27/2022,55.58
09/26/2022,58.45
09/25/2022,62.52
09/24/2022,42.82
09/23/2022,51.15
09/22/2022,62.63
09/21/2022,58.08
09/20/2022,64.63
09/19/2022,63.9
09/18/2022,62.12
09/17/2022,65.52
09/16/2022,62.87
09/15/2022,58.78
09/14/2022,65.33
09/13/2022,61.4
09/12/2022,52.88
09/11/2022,47.1
09/10/2022,56.07
09/09/2022,55.83
09/08/2022,52.53
09/07/2022,58.77
09/06/2022,52.8
09/05/2022,55.07
09/04/2022,40.83
09/03/2022,55.07
09/02/2022,52.83
09/01/2022,66.13
08/31/2022,60.62
08/30/2022,56.73
08/29/2022,45.02
08/28/2022,43.98
08/27/2022,67.13
08/26/2022,65.27
08/25/2022,60.92
08/24/2022,53.77
08/23/2022,49.43
08/22/2022,50.05
08/21/2022,37.88
08/20/2022,43.83
08/19/2022,59.07
08/18/2022,63.85
08/17/2022,55.37
08/16/2022,66.68
08/15/2022,63.15
08/14/2022,54.18
08/13/2022,46.9
08/12/2022,64.88
08/11/2022,63.38
08/10/2022,46.97
08/09/2022,53.83
08/08/2022,40.33
08/07/2022,64.25
08/06/2022,63.57
08/05/2022,53.23
08/04/2022,59.13
08/03/2022,61.9
08/02/2022,51.52
08/01/2022,46.6
07/31/2022,59.7
07/30/2022,50.08
07/29/2022,89.12
07/28/2022,7.35
07/27/2022,65.12
07/26/2022,58.92
07/25/2022,52.4
07/24/2022,47.8
07/23/2022,52.78
07/22/2022,59.35
07/21/2022,58.5
07/20/2022,57.85
07/19/2022,50.67
07/18/2022,58.27
07/17/2022,50.68
07/16/2022,51.58
07/15/2022,52.7
07/14/2022,58.32
07/13/2022,59.07
07/12/2022,61.43
07/11/2022,46.18
07/10/2022,45.07
07/09/2022,24.5
07/08/2022,40.27
07/07/2022,36.92
07/06/2022,39
07/05/2022,41.02
07/04/2022,49.98
07/03/2022,43.58
07/02/2022,45.2
07/01/2022,45.4
06/30/2022,48.3
06/29/2022,51.7
06/28/2022,50.1
06/27/2022,39.83
06/26/2022,23.98
06/25/2022,21.82
06/24/2022,27.27
