Habit,Date,Value,Unit,Memo,Tag
Fluent Forever,2020-09-22,0,min,,Priority
Fluent Forever,2020-09-23,45,min,,Priority
Fluent Forever,2020-09-24,28.57,min,,Priority
Fluent Forever,2020-09-25,0,min,,Priority
Fluent Forever,2020-09-26,0,min,😀 Skipped for setting up Anki kanji template,Priority
Minna no Nihongo,2021-05-10,20,min,,
Minna no Nihongo,2021-05-11,20,min,,
Minna no Nihongo,2021-06-06,30,min,,
Minna no Nihongo,2021-06-07,10,min,,
Minna no Nihongo,2021-06-08,10,min,,
Minna no Nihongo,2021-06-27,15,min,,
Minna no Nihongo,2021-07-06,8,min,,
Minna no Nihongo,2021-08-29,10,min,,
Minna no Nihongo,2021-08-30,5,min,,
Minna no Nihongo,2021-09-23,30,min,,
Minna no Nihongo,2021-09-28,15,min,,
Minna no Nihongo,2021-09-30,30,min,,
Minna no Nihongo,2021-10-13,30,min,,
Minna no Nihongo,2021-10-14,30,min,,
Bonus study,2020-10-20,12,min,,
Bonus study,2020-10-25,31.93,min,,
Bonus study,2020-10-26,9,min,,
Bonus study,2020-10-29,8,min,,
Bonus study,2020-10-31,10.12,min,,
Bonus study,2020-11-01,8,min,,
Bonus study,2020-11-04,14.3,min,,
Bonus study,2020-11-06,7,min,,
Bonus study,2020-11-07,35.65,min,,
Bonus study,2020-11-08,7,min,,
Bonus study,2020-11-09,20.02,min,,
Bonus study,2020-11-10,12,min,,
Bonus study,2020-11-16,40,min,,
Bonus study,2020-11-29,30,min,,
Bonus study,2020-11-30,40,min,,
Bonus study,2020-12-01,20,min,,
Bonus study,2020-12-03,45,min,,
Bonus study,2020-12-05,30,min,,
Bonus study,2021-01-01,60,min,,
Bonus study,2021-01-04,0,min,,
Bonus study,2021-01-05,0,min,,
Bonus study,2021-01-06,0,min,,
Bonus study,2021-01-07,0,min,,
Bonus study,2021-01-08,0,min,,
Bonus study,2021-01-09,0,min,,
Bonus study,2021-01-10,0,min,,
Bonus study,2021-01-11,0,min,,
Bonus study,2021-01-12,0,min,,
Bonus study,2021-01-13,0,min,,
Bonus study,2021-01-14,0,min,,
Bonus study,2021-01-15,0,min,,
Bonus study,2021-01-16,0,min,,
Make flashcards,2020-09-28,240,min,😀 Skipped to study flashcards and Genki book,
Make flashcards,2020-09-29,240,min,,
Make flashcards,2020-09-30,240,min,,
Make flashcards,2020-10-01,120,min,,
Make flashcards,2020-10-02,0,min,😀 Skipped for Washington vacation!,
Make flashcards,2020-10-03,120,min,😀 ,
Make flashcards,2020-10-05,120,min,,
Make flashcards,2020-10-06,60,min,😀 ,
Make flashcards,2020-10-07,60,min,,
Make flashcards,2020-10-08,60,min,,
Make flashcards,2020-10-09,70,min,,
Make flashcards,2020-10-10,60,min,,
Make flashcards,2020-10-11,90,min,,
Make flashcards,2020-10-12,90,min,,
Make flashcards,2020-10-13,90,min,,
Make flashcards,2020-10-14,70,min,,
Make flashcards,2020-10-15,120,min,,
Make flashcards,2020-10-16,48.38,min,,
Make flashcards,2020-10-17,73.58,min,,
Make flashcards,2020-10-18,39.9,min,,
Make flashcards,2020-10-19,80,min,,
Make flashcards,2020-10-20,60,min,,
Make flashcards,2020-10-21,80,min,,
Make flashcards,2020-10-22,52,min,,
Make flashcards,2020-10-23,45,min,,
Make flashcards,2020-10-24,80,min,,
Make flashcards,2020-10-25,75,min,,
Make flashcards,2020-10-26,79.42,min,,
Make flashcards,2020-10-27,41.43,min,,
Make flashcards,2020-10-28,45,min,,
Make flashcards,2020-10-29,60,min,,
Make flashcards,2020-10-30,57.42,min,,
Make flashcards,2020-10-31,57,min,,
Make flashcards,2020-11-01,60,min,,
Make flashcards,2020-11-02,52.12,min,,
Make flashcards,2020-11-03,49.28,min,,
Make flashcards,2020-11-04,120,min,,
Make flashcards,2020-11-05,60,min,,
Make flashcards,2020-11-06,60,min,,
Make flashcards,2020-11-07,45,min,,
Make flashcards,2020-11-08,45,min,,
Make flashcards,2020-11-09,60,min,,
Make flashcards,2020-11-10,60,min,,
Make flashcards,2020-11-11,50,min,,
Make flashcards,2020-11-12,60,min,,
Make flashcards,2020-11-13,60,min,,
Make flashcards,2020-11-14,120,min,,
Make flashcards,2020-11-15,5,min,😀 ,
Make flashcards,2020-11-16,5,min,,
Make flashcards,2020-11-17,50,min,,
Make flashcards,2020-11-18,60,min,,
Make flashcards,2020-11-19,60,min,,
Make flashcards,2020-11-20,40,min,,
Make flashcards,2020-11-21,45,min,,
Make flashcards,2020-11-22,45,min,,
Make flashcards,2020-11-23,70,min,,
Make flashcards,2020-11-24,45,min,,
Make flashcards,2020-11-25,75,min,,
Make flashcards,2020-11-26,75,min,,
Make flashcards,2020-11-27,45,min,,
Make flashcards,2020-11-28,40,min,,
Make flashcards,2020-11-29,60,min,,
Make flashcards,2020-11-30,75,min,,
Make flashcards,2020-12-01,30,min,,
Make flashcards,2020-12-02,30,min,,
Make flashcards,2020-12-03,45,min,,
Make flashcards,2020-12-04,45,min,,
Make flashcards,2020-12-05,40,min,,
Make flashcards,2020-12-07,56.07,min,,
Make flashcards,2020-12-09,50,min,,
Make flashcards,2020-12-27,45,min,,
Make flashcards,2020-12-28,40,min,,
Make flashcards,2020-12-29,48,min,,
Make flashcards,2020-12-30,35,min,,
Make flashcards,2020-12-31,45,min,,
Make flashcards,2021-01-01,45,min,,
Make flashcards,2021-01-02,52,min,,
Make flashcards,2021-01-03,15,min,,
Make flashcards,2021-01-05,45,min,,
Make flashcards,2021-01-05,0,min,,
Make flashcards,2021-01-06,0,min,,
Make flashcards,2021-01-07,130,min,,
Make flashcards,2021-01-08,48.28,min,,
Make flashcards,2021-01-09,45,min,,
Make flashcards,2021-01-10,45,min,,
Make flashcards,2021-01-11,34.28,min,,
Make flashcards,2021-01-12,40,min,,
Make flashcards,2021-01-13,45,min,,
Make flashcards,2021-01-14,45,min,,
Make flashcards,2021-01-15,45,min,,
Make flashcards,2021-01-16,50,min,,
Make flashcards,2021-01-17,45,min,,
Make flashcards,2021-01-18,34,min,,
Make flashcards,2021-01-19,50,min,,
Make flashcards,2021-01-20,40,min,,
Make flashcards,2021-01-21,45,min,,
Make flashcards,2021-01-22,60,min,,
Make flashcards,2021-01-23,45,min,,
Make flashcards,2021-01-24,30,min,,
Make flashcards,2021-01-25,40,min,,
Make flashcards,2021-01-26,45,min,,
Make flashcards,2021-01-27,45,min,,
Make flashcards,2021-01-28,45,min,,
Make flashcards,2021-01-30,35,min,,
Make flashcards,2021-01-31,15,min,,
Make flashcards,2021-03-14,90,min,,
Make flashcards,2021-03-16,120,min,,
Make flashcards,2021-03-18,15,min,,
Make flashcards,2021-03-21,120,min,,
Make flashcards,2021-03-22,120,min,,
Make flashcards,2021-03-23,40,min,,
Make flashcards,2021-03-25,30,min,,
Make flashcards,2021-03-28,15,min,,
Make flashcards,2021-04-04,45,min,,
Make flashcards,2021-04-05,40,min,,
Make flashcards,2021-04-12,12,min,,
Make flashcards,2021-04-12,120,min,,
Make flashcards,2021-04-14,45,min,,
