Habit,Date,Value,Unit,Memo,Tag
Active Listening,2022-06-09,70,min,,
Active Listening,2022-06-13,10,min,,
Active Listening,2022-06-16,19.48,min,,
Active Listening,2022-06-23,30,min,,
Active Listening,2022-06-24,30,min,,
Active Listening,2022-06-25,30,min,,
Active Listening,2022-06-26,36,min,,
Active Listening,2022-06-27,66,min,,
Active Listening,2022-06-28,66,min,,
Active Listening,2022-06-29,75,min,,
Active Listening,2022-06-30,50,min,,
Active Listening,2022-07-01,60,min,,
Active Listening,2022-07-02,61,min,,
Active Listening,2022-07-03,15,min,,
Active Listening,2022-07-04,30,min,,
Active Listening,2022-07-08,29,min,,
Active Listening,2022-07-10,89,min,,
Active Listening,2022-07-11,60,min,,
Active Listening,2022-07-12,60,min,,
Active Listening,2022-07-13,60,min,,
Active Listening,2022-07-14,65,min,,
Active Listening,2022-07-15,60,min,,
Active Listening,2022-07-17,60,min,,
Active Listening,2022-07-18,46,min,,
Active Listening,2022-07-19,50,min,,
Active Listening,2022-07-20,61,min,,
Active Listening,2022-07-21,80,min,,
Active Listening,2022-07-22,60,min,,
Active Listening,2022-07-23,63,min,,
Active Listening,2022-07-24,101,min,,
Active Listening,2022-07-25,61,min,,
Active Listening,2022-07-26,68,min,,
Active Listening,2022-07-27,60,min,,
Active Listening,2022-07-30,60,min,,
Active Listening,2022-07-31,61,min,,
Active Listening,2022-08-01,60,min,,
Active Listening,2022-08-02,60,min,,
Active Listening,2022-08-03,60,min,,
Active Listening,2022-08-04,64,min,,
Active Listening,2022-08-05,69,min,,
Active Listening,2022-08-06,60,min,,
Active Listening,2022-08-07,60,min,,
Active Listening,2022-08-08,64,min,,
Active Listening,2022-08-09,60,min,,
Active Listening,2022-08-10,56,min,,
Active Listening,2022-08-12,28,min,,
Active Listening,2022-08-13,25,min,,
Active Listening,2022-08-14,4,min,,
Active Listening,2022-08-22,60,min,,
Active Listening,2022-08-23,60,min,,
Active Listening,2022-08-24,60,min,,
Active Listening,2022-08-25,60,min,,
Active Listening,2022-08-26,60,min,,
Active Listening,2022-08-29,72,min,,
Active Listening,2022-08-30,60,min,,
Active Listening,2022-08-31,45,min,,
Active Listening,2022-09-01,60,min,,
Active Listening,2022-09-02,60,min,,
Active Listening,2022-09-03,4,min,,
Active Listening,2022-09-05,48,min,,
Active Listening,2022-09-06,60,min,,
Active Listening,2022-09-08,60,min,,
Active Listening,2022-09-09,64,min,,
Active Listening,2022-09-12,65,min,,
Active Listening,2022-09-13,60,min,,
Active Listening,2022-09-14,61,min,,
Active Listening,2022-09-15,61,min,,
Active Listening,2022-09-16,60,min,,
Active Listening,2022-09-19,61,min,,
Active Listening,2022-09-20,42,min,,
Active Listening,2022-09-21,56,min,,
Active Listening,2022-09-22,64,min,,
Active Listening,2022-09-23,60,min,,
Active Listening,2022-09-27,21,min,,
Active Listening,2022-09-29,124,min,,
Active Listening,2022-10-05,5,min,,
Active Listening,2022-10-07,60,min,,
Active Listening,2022-10-10,66,min,,
Active Listening,2022-10-22,20,min,,
Active Listening,2022-10-26,10,min,,
Active Listening,2022-10-31,25,min,,
Active Listening,2022-11-02,13,min,,
Study flashcards,2020-09-06,35,min,,Priority
Study flashcards,2020-09-07,35,min,,Priority
Study flashcards,2020-09-08,21.42,min,,Priority
Study flashcards,2020-09-09,35,min,,Priority
Study flashcards,2020-09-10,45,min,,Priority
Study flashcards,2020-09-11,45,min,,Priority
Study flashcards,2020-09-12,45,min,,Priority
Study flashcards,2020-09-13,45,min,,Priority
Study flashcards,2020-09-14,45,min,,Priority
Study flashcards,2020-09-15,45,min,,Priority
Study flashcards,2020-09-16,15,min,,Priority
Study flashcards,2020-09-17,45,min,,Priority
Study flashcards,2020-09-18,45,min,,Priority
Study flashcards,2020-09-19,45,min,,Priority
Study flashcards,2020-09-20,46.25,min,,Priority
Study flashcards,2020-09-21,0,min,😀 Focusing on fluent forever this week,Priority
Study flashcards,2020-09-22,15,min,😀 Skipping to focus on fluent forever,Priority
Study flashcards,2020-09-23,15,min,,Priority
Study flashcards,2020-09-24,15,min,,Priority
Study flashcards,2020-09-25,7.37,min,,Priority
Study flashcards,2020-09-26,15,min,,Priority
Study flashcards,2020-09-28,30,min,,Priority
Study flashcards,2020-09-29,15,min,😀 Skipped while making new radical cards,Priority
Study flashcards,2020-09-30,15,min,,Priority
Study flashcards,2020-10-01,25,min,,Priority
Study flashcards,2020-10-02,30,min,,Priority
Study flashcards,2020-10-03,27,min,,Priority
Study flashcards,2020-10-04,30.18,min,,Priority
Study flashcards,2020-10-05,30.07,min,,Priority
Study flashcards,2020-10-06,42.13,min,,Priority
Study flashcards,2020-10-07,43.12,min,,Priority
Study flashcards,2020-10-08,60.18,min,,Priority
Study flashcards,2020-10-09,48.85,min,,Priority
Study flashcards,2020-10-10,62.03,min,,Priority
Study flashcards,2020-10-11,85.93,min,,Priority
Study flashcards,2020-10-12,60,min,,Priority
Study flashcards,2020-10-13,75.65,min,,Priority
Study flashcards,2020-10-14,77.58,min,,Priority
Study flashcards,2020-10-15,95.93,min,,Priority
Study flashcards,2020-10-16,73.98,min,,Priority
Study flashcards,2020-10-17,68.27,min,,Priority
Study flashcards,2020-10-18,97.03,min,,Priority
Study flashcards,2020-10-19,84.57,min,,Priority
